iter	Recall	Logloss
0	0.6809338521	0.664483512
1	0.8949416342	0.6346793564
2	0.8949416342	0.6063671186
3	0.906614786	0.585612375
4	0.8832684825	0.5629063469
5	0.8832684825	0.5464387886
6	0.8754863813	0.5338675651
7	0.8638132296	0.5176307886
8	0.8949416342	0.5008687416
9	0.8832684825	0.4883625906
10	0.8949416342	0.4748463315
11	0.8949416342	0.4631812545
12	0.9027237354	0.4475821113
13	0.9027237354	0.4364965417
14	0.906614786	0.4290907151
15	0.8988326848	0.4227321046
16	0.8949416342	0.4186393352
17	0.9027237354	0.40766693
18	0.9105058366	0.3983485597
19	0.9182879377	0.3869044085
20	0.9260700389	0.3778014721
21	0.9299610895	0.3741456562
22	0.9260700389	0.3687612927
23	0.9299610895	0.360634147
24	0.9338521401	0.3517008384
25	0.9338521401	0.346015188
26	0.9338521401	0.3404668667
27	0.9338521401	0.3360919878
28	0.9377431907	0.3307689266
29	0.9416342412	0.3268764511
30	0.9377431907	0.3215611083
31	0.9377431907	0.3176170973
32	0.9416342412	0.3153758958
33	0.9377431907	0.3123494605
34	0.9338521401	0.3110771328
35	0.9338521401	0.3085830926
36	0.9338521401	0.306080384
37	0.9377431907	0.3019248576
38	0.9338521401	0.3000468688
39	0.9338521401	0.2972965463
40	0.9377431907	0.294227986
41	0.9416342412	0.2912387774
42	0.9377431907	0.2879356651
43	0.9377431907	0.2852090323
44	0.9377431907	0.2836625808
45	0.9416342412	0.2818502879
46	0.9455252918	0.2796208126
47	0.9455252918	0.2760206289
48	0.9455252918	0.2711364509
49	0.9455252918	0.2706982505
50	0.9377431907	0.2676118487
51	0.9416342412	0.2646549685
52	0.9416342412	0.2629746908
53	0.9455252918	0.2616159758
54	0.9455252918	0.2604885769
55	0.9455252918	0.2579411013
56	0.9455252918	0.2544878949
57	0.9494163424	0.2516207862
58	0.9494163424	0.2471243862
59	0.9494163424	0.2458569864
60	0.953307393	0.2428758079
61	0.953307393	0.2410194308
62	0.9571984436	0.235994762
63	0.9571984436	0.2353455659
64	0.9610894942	0.2318627027
65	0.9610894942	0.2288905637
66	0.9610894942	0.2272608716
67	0.9610894942	0.2223481353
68	0.9610894942	0.2211910797
69	0.9610894942	0.2198753505
70	0.9610894942	0.2194599345
71	0.9649805447	0.2153596989
72	0.9688715953	0.2134536713
73	0.9688715953	0.208837101
74	0.9766536965	0.2072072307
75	0.9766536965	0.205301693
76	0.9766536965	0.2040025733
77	0.9805447471	0.2032753911
78	0.9805447471	0.2012443839
79	0.9766536965	0.199837295
80	0.9805447471	0.1986979622
81	0.9805447471	0.197328471
82	0.9844357977	0.1970928207
83	0.9844357977	0.1950659548
84	0.9844357977	0.1935340199
85	0.9844357977	0.1898053537
86	0.9844357977	0.1893191356
87	0.9844357977	0.1884830935
88	0.9844357977	0.1873666786
89	0.9805447471	0.1857451205
90	0.9805447471	0.1840633882
91	0.9805447471	0.1822109742
92	0.9844357977	0.1819128044
93	0.9883268482	0.1800596482
94	0.9883268482	0.179843012
95	0.9844357977	0.1788899166
96	0.9844357977	0.1788388263
97	0.9844357977	0.1787951577
98	0.9844357977	0.1782716833
99	0.9844357977	0.177618806
100	0.9844357977	0.1776074807
101	0.9883268482	0.1767321932
102	0.9883268482	0.176343198
103	0.9883268482	0.17620103
104	0.9883268482	0.174262481
105	0.9883268482	0.1736566714
106	0.9883268482	0.1736066202
107	0.9883268482	0.1726891484
108	0.9883268482	0.1711636851
109	0.9883268482	0.1706989897
110	0.9883268482	0.1696185695
111	0.9883268482	0.1686186438
112	0.9883268482	0.1678037235
113	0.9883268482	0.1677748981
114	0.9883268482	0.1672408998
115	0.9883268482	0.1671767624
116	0.9883268482	0.1667072281
117	0.9883268482	0.1656455103
118	0.9883268482	0.165474413
119	0.9883268482	0.16332138
120	0.9883268482	0.1625789687
121	0.9883268482	0.1613499089
122	0.9883268482	0.1610903165
123	0.9883268482	0.1607669578
124	0.9883268482	0.1607339169
125	0.9883268482	0.1587340507
126	0.9883268482	0.1583029009
127	0.9883268482	0.1579715714
128	0.9883268482	0.1573500132
129	0.9883268482	0.155830695
130	0.9883268482	0.155742482
131	0.9883268482	0.1554950759
132	0.9883268482	0.155464202
133	0.9883268482	0.1550193519
134	0.9883268482	0.1539730562
135	0.9883268482	0.1539661393
136	0.9883268482	0.153853153
137	0.9883268482	0.1538414417
138	0.9883268482	0.1518451527
139	0.9883268482	0.1512596783
140	0.9883268482	0.1498873225
141	0.9883268482	0.1497972392
142	0.9883268482	0.1492377849
143	0.9883268482	0.1489799885
144	0.9883268482	0.1479164302
145	0.9883268482	0.1479007112
146	0.9883268482	0.1471028903
147	0.9883268482	0.1470967155
148	0.9883268482	0.1462528808
149	0.9883268482	0.1462361822
150	0.9883268482	0.1451725941
151	0.9883268482	0.1451580033
152	0.9883268482	0.1439696138
153	0.9883268482	0.1436286956
154	0.9883268482	0.1423281658
