iter	Passed	Remaining
0	242	242018
1	282	140982
2	1060	352535
3	1472	366548
4	2204	438769
5	2275	376931
6	2317	328728
7	2385	295771
8	3122	343786
9	3854	381572
10	4588	412583
11	5326	438582
12	6064	460445
13	6467	455501
14	7211	473532
15	7278	447638
16	7312	422858
17	8057	439595
18	8809	454843
19	9538	467385
20	10269	478774
21	10296	457708
22	10701	454575
23	11430	464833
24	12161	474281
25	12895	483089
26	13628	491125
27	14360	498510
28	15095	505453
29	15158	490137
30	15904	497129
31	16308	493339
32	16353	479207
33	17087	485481
34	17114	471868
35	17145	459115
36	17874	465228
37	18606	471034
38	18719	461260
39	19126	459029
40	19855	464423
41	20586	469577
42	21320	474495
43	22053	479170
44	22266	472535
45	22475	466121
46	23208	470597
47	23941	474834
48	24674	478884
49	24698	469272
50	25430	473211
51	26166	477041
52	26381	471388
53	26788	469296
54	27002	463944
55	27748	467760
56	28488	471306
57	29222	474608
58	29955	477769
59	30074	471159
60	30803	474170
61	31539	477167
62	32275	480037
63	32487	475134
64	33225	477939
65	33957	480551
66	34688	483047
67	35420	485473
68	36151	487782
69	36886	490059
70	36926	483169
71	37671	485538
72	38073	483487
73	38814	485706
74	39549	487779
75	40285	489782
76	41019	491702
77	41758	493605
78	42493	495400
79	43224	497082
80	43968	498850
81	44703	500461
82	44731	494198
83	45464	495776
84	45867	493747
85	46624	495517
86	46699	490074
87	47137	488518
88	47574	486966
89	48350	488876
90	49125	490711
91	49915	492644
92	50353	491080
93	51127	492785
94	51269	488404
95	52037	490023
96	52131	485308
97	52201	480462
98	52975	482133
99	53749	483742
100	53818	479041
101	53913	474648
102	54154	471616
103	54228	467201
104	55000	468815
105	55774	470403
106	55850	466113
107	56621	467654
108	57390	469127
109	57457	464883
110	58229	466358
111	59001	467800
112	59775	469209
113	59886	465434
114	60654	466773
115	60721	462743
116	61497	464123
117	62269	465436
118	62413	462072
119	63191	463406
120	63967	464689
121	64739	465915
122	64815	462136
123	65584	463325
124	65641	459488
125	66411	460664
126	66487	457036
127	66923	455914
128	67700	457112
129	68473	458242
130	68544	454699
131	68621	451239
132	68698	447829
133	68795	444606
134	69040	442368
135	69113	439072
136	69208	435961
137	69269	432682
138	70035	433818
139	70800	434920
140	71570	436023
141	71808	433884
142	72575	434944
143	72668	431974
144	73438	433034
145	73504	429952
146	74277	431012
147	74344	427982
148	75116	429018
149	75193	426098
150	75965	427118
151	76032	424182
152	76800	425164
153	77568	426121
154	78340	427084
155	79112	428016
156	79885	428940
157	80656	429826
158	81090	428914
159	81866	429799
160	82638	430646
161	82710	427847
162	82776	425056
163	83545	425876
164	83617	423153
165	84389	423980
166	85156	424764
167	85928	425549
168	86693	426284
169	87463	427029
170	87540	424392
171	88310	425123
172	89081	425840
173	89854	426548
174	90626	427237
175	90766	424953
176	91539	425630
177	91612	423062
178	92384	423728
179	92442	421128
180	93206	421745
181	93279	419246
182	93519	417516
183	94287	418146
184	95064	418798
185	95137	416353
186	95907	416967
187	96680	417578
188	97440	418118
189	98210	418688
190	98265	416213
191	99030	416751
192	99797	417288
193	100561	417797
194	101328	418306
195	101401	415952
196	101542	413899
197	102311	414412
198	103089	414948
199	103142	412569
200	103191	410200
201	103320	408168
202	104087	408659
203	104316	407040
204	104370	404755
205	105138	405243
206	105909	405728
207	106683	406219
208	106745	404000
209	107511	404447
210	108284	404914
211	109058	405369
212	109132	403225
213	109204	401097
214	109975	401539
215	110037	399395
216	110126	397369
217	110907	397841
